block_number,price0,price1
16016216,16074.90087645281,1129.8950131738973
16016266,16074.970772059803,1130.1041025524955
16016316,16074.970772059803,1130.1041025524955
16016366,16084.327467513329,1132.2402371832957
16016416,16084.461328859375,1132.4869605739004
16016466,16085.39768790388,1134.6241037057077
16016516,16103.928821000578,1135.5941451679835
16016566,16129.857910588207,1134.2853022995007
16016616,16138.73929174461,1133.9480243176731
16016666,16140.241357088235,1133.6012796209116
16016716,16097.663901267457,1132.5544597035484
16016766,16088.187030524286,1131.3100641135043
16016816,16085.790289284927,1130.3691583973573
16016866,16083.150546606912,1129.9376008097643
16016916,16081.56811309155,1129.6506876266687
16016966,16081.039458483108,1129.514734479409
16017016,16036.213461531508,1125.9064963814103
16017066,15982.203804243349,1124.5995877658906
16017116,15962.42314937051,1125.1339715015113
16017166,15958.75763512001,1124.8208399801701
16017216,15945.52647763998,1123.941317858405
16017266,15944.466098387626,1124.2575232918757
16017316,15942.933181738606,1123.2455709374328
16017366,15946.954370127338,1121.5976785471707
16017416,15933.463175424517,1120.970686478551
16017466,15954.414402040677,1122.4676100322804
16017516,15956.287060714149,1116.5813483849454
16017566,15938.949968718014,1115.2931541638268
16017616,15949.864412344667,1114.8287069894282
16017666,15992.901135317297,1118.0406578205154
16017716,16017.352778138713,1119.6225941825778
16017766,16010.823808280977,1118.6521486153154
16017816,16004.474827220023,1117.8509351730363
16017866,15994.485642470088,1116.3803173949166
16017916,16002.89588041403,1119.0115936789966
16017966,16026.20459985946,1121.8865000316111
16018016,16048.837209944028,1125.3037184517993
16018066,16046.517027520551,1126.2968000991118
16018116,16035.173946893827,1126.5594543606082
16018166,16025.989149506147,1125.741060987426
16018216,16025.026086862159,1125.5958034518135
16018266,16029.757238304423,1125.7389785878884
16018316,16000.90478920431,1123.3213188915006
16018366,15993.00234479314,1122.2992552926446
16018416,15994.918768996678,1122.6211445909273
16018466,15977.004430251238,1120.8154619394556
16018516,15996.853914795252,1123.4245564827734
16018566,16006.894039223465,1125.1202681810169
16018616,16029.294119569086,1128.0593974053243
16018666,16073.966860452649,1133.004163694415
16018716,16089.015273144978,1136.102656088412
16018766,16110.90109009261,1137.0862845711415
16018816,16110.492697280644,1136.0316501928114
16018866,16110.490733285225,1135.2521866162742
16018916,16110.488228006227,1134.9045899265548
16018966,16103.834429615175,1135.9528131221502
16019016,16124.435688072215,1137.5440017879764
16019066,16134.054225462123,1136.1626898883849
16019116,16140.855542520945,1137.695397011264
16019166,16143.615645830785,1136.847634628954
16019216,16137.72229134901,1137.6047561651644
16019266,16110.628584862654,1135.815908566329
16019316,16083.931530953096,1134.421750536113
16019366,16070.862234529757,1134.3549537201147
16019416,16063.501933807003,1133.199857910405
16019466,16055.637838977633,1131.9478728216218
16019516,16052.462477376406,1131.2441555236983
16019566,16031.829048191248,1125.398836352471
16019616,15961.634538981063,1116.8720215384126
16019666,15899.960646926305,1113.2312002065541
16019716,15895.738602197616,1115.4787574628906
16019766,15937.08720389218,1116.2183907242306
16019816,15954.38567804837,1114.979001117753
16019866,15967.53048046347,1113.8515403682443
16019916,15942.812495993088,1111.2948233964607
16019966,15943.788576229455,1111.734238932031
16020016,15951.687019717,1111.671826950081
16020066,15940.303370809343,1108.8202739582223
16020116,15898.118985942552,1104.803521163045
16020166,15907.250314682266,1101.2719917680852
16020216,15891.451036457242,1099.5972625461054
16020266,15899.20584278896,1100.7038954996726
16020316,15907.73564796922,1102.75506577168
16020366,15911.567171152397,1102.0617018069925
16020416,15912.992446647577,1102.3279140954937
16020466,15919.305600094242,1103.079589738095
16020516,15855.805179653256,1098.352338390757
16020566,15725.94904494201,1091.786925767745
16020616,15670.67226824477,1089.8086669592012
16020666,15659.58877072325,1090.3417127880139
16020716,15651.407024033217,1094.6515860191842
16020766,15705.187923364043,1099.2858360088794
16020816,15709.405333254883,1100.3268132977546
16020866,15741.714641265702,1104.2092561211086
16020916,15755.435783682386,1105.2019527931088
16020966,15767.182007538198,1105.7682349489526
16021016,15769.778506782433,1106.0496232337312
16021066,15772.692984802037,1106.5394854161739
16021116,15776.263023017367,1106.1827825258174
16021166,15760.173729820308,1105.6035236242305
16021216,15637.655708147351,1098.0672404757988
16021266,15635.771997093585,1097.4855323224472
16021316,15628.479139341911,1099.047115052306
16021366,15627.32765203701,1101.677731535287
16021416,15675.423918720164,1107.2351158796619
16021466,15711.232844946338,1111.500276027214
16021516,15707.343615438573,1111.3464923257036
16021566,15697.325764650215,1110.3144485435996
16021616,15745.776296022594,1111.6996266059734
16021666,15760.607899597106,1111.6520579402281
16021716,15759.113159269024,1110.3496756174588
16021766,15754.04589384019,1109.5616575071288
16021816,15745.271988391582,1109.3338986530387
16021866,15731.977827402858,1107.5537813150231
